config,epoch,num_tainted_batches,avg_total_time_ms,avg_forward_time_ms,avg_backward_time_ms,avg_taint_ratio,avg_kde_eligible_edges,avg_edges_reduced,total_kde_eligible_edges,total_edges_reduced
orthrus_cicids_kde_ts,10,286,84.1569,77.523,6.634,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,11,286,74.1004,68.3385,5.7619,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,ALL,3432,75.6649,69.5235,6.1414,0.572975,288.83,288.83,991248,991248
kairos_cicids,0,287,103.3741,95.2598,8.1143,0.212036,104.08,101.85,29870,29230
kairos_cicids,1,287,100.9105,92.6603,8.2502,0.212036,104.08,101.85,29870,29230
kairos_cicids,2,287,101.1694,92.9426,8.2268,0.212036,104.08,101.85,29870,29230
kairos_cicids,3,287,101.9063,93.2555,8.6509,0.212036,104.08,101.85,29870,29230
kairos_cicids,4,287,101.5803,93.183,8.3973,0.212036,104.08,101.85,29870,29230
kairos_cicids,5,287,102.2014,93.7494,8.452,0.212036,104.08,101.85,29870,29230
kairos_cicids,6,287,100.9969,92.5055,8.4915,0.212036,104.08,101.85,29870,29230
kairos_cicids,7,287,100.6066,92.5433,8.0633,0.212036,104.08,101.85,29870,29230
kairos_cicids,8,287,100.2945,92.1897,8.1047,0.212036,104.08,101.85,29870,29230
kairos_cicids,9,287,99.7334,91.8466,7.8867,0.212036,104.08,101.85,29870,29230
kairos_cicids,10,287,101.4099,94.4451,6.9648,0.212036,104.08,101.85,29870,29230
kairos_cicids,11,287,99.2128,92.2443,6.9685,0.212036,104.08,101.85,29870,29230
kairos_cicids,ALL,3444,101.1163,93.0688,8.0476,0.212036,104.08,101.85,358440,350760
